,creationDate,isFresh,isRotten,isRtUrl,isTop,reviewUrl,quote,reviewId,scoreOri,scoreSentiment,critic.name,critic.criticPictureUrl,critic.vanity,publication.id,publication.name
10,"Jul 30, 2021",True,False,False,False,https://lolaonfilm.com/2019/10/05/joker/,"[Phoenix as the Joker] burns like he were an archangel on heroin, a contorted otherworldly presence that under a different constellation of stars would have ended up a saint.",2810283,5/5,POSITIVE,Milana Vujkov,http://resizing.flixster.com/B_NEiLIXabDnDMolcfLP4Jl_LZI=/128x128/v1.YzszOTg5O2o7MTkzMDU7MjA0ODszMDA7MzAw,milana-vujkov,4036,Lola On Film
11,"Jun 24, 2021",True,False,False,False,https://butwhythopodcast.com/2019/10/04/review-joker-feels-subpar-despite-a-stellar-lead-performance/,"Ultimately, Joker is neither deserving of the controversy it's stirred up nor some of the praise it's received. Phoenix's performance is the highlight of what is ultimately a relatively tame film.",2800630,7,POSITIVE,Collier Jennings,http://resizing.flixster.com/57RSaIE3pU_eC40miLyMUAiJuwc=/128x128/v1.YzszOTUxO2o7MTkzMDU7MjA0ODszMDA7MzAw,collier-jennings,3409,But Why Tho? A Geek Community
12,"Jun 14, 2021",True,False,False,False,https://www.nme.com/reviews/joker-review-a-melancholic-psychodrama-punctuated-by-splashes-of-shocking-violence-2543865,"An instant classic that sees Joaquin Phoenix translate a discombobulating sensation from the screen to your senses, while director Todd Phillips creates a melancholic psychodrama...",2797964,5/5,POSITIVE,Greg Wetherall,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,greg-wetherall,3240,NME
13,"Apr 3, 2021",True,False,False,False,https://wemadethisnetwork.com/2019/10/07/joker-a-male-rage-manifesto-with-ugly-societal-truths/,A male rage manifesto with ugly societal truths.,2782018,4/5,POSITIVE,Tony Black,http://resizing.flixster.com/uuHtFhqAJ6YttYD0-C_Z6SbB23Y=/128x128/v1.YzszODg3O2o7MTkzMDU7MjA0ODszMDA7MzAw,tony-black,3961,We Made This
14,"Feb 17, 2021",False,True,False,False,https://dallas.culturemap.com/news/entertainment/10-03-19-joker-movie-review-joaquin-phoenix/#slide=0,"Although it has some of the hallmarks of a mainstream movie, there's little that's entertaining about Joker. Phoenix's version of the character is uncomfortable, and his off-putting nature will likely not inspire many repeat viewings.",2769021,,NEGATIVE,Alex Bentley,http://resizing.flixster.com/BxokNkE_91LYljRgblG4kCXbTo8=/128x128/v1.YzszODU5O2o7MTkzMDU7MjA0ODszMDA7MzAw,alex-bentley,3686,CultureMap
15,"Jan 31, 2021",True,False,False,False,https://www.ctvnews.ca/entertainment/movie-reviews-joker-reinvents-the-dc-villain-for-a-new-generation-1.4620433,It may not be a deep or realistic study of mental illness but it showcases Arthur's weariness at being treated as the cigarette butt under society's heel.,2761782,4/5,POSITIVE,Richard Crouse,http://resizing.flixster.com/_xQiiyqvt5FR1hmPmz8C0jZwtt0=/128x128/v1.YzszODgxO2o7MTkzMDU7MjA0ODszMDA7MzAw,richard-crouse,3900,Richard Crouse
16,"Jan 29, 2021",False,True,False,False,https://www.strangeharbors.com/blog/2019/10/8/film-review-joker,Joker is nothing more than a shallow homunculus of better films.,2760823,C+,NEGATIVE,Jeffrey Zhang,http://resizing.flixster.com/EM2wSQeIsbSCgZve89BIa87amyE=/128x128/v1.YzszODkxO2o7MTkzMDU7MjA0ODszMDA7MzAw,jeffrey-zhang,3907,Strange Harbors
17,"Jan 29, 2021",True,False,False,False,http://seattlerefined.com/lifestyle/review-joker,"Phoenix gives the performance of his career, one already filled with admirable, transformative performances. But this one is different. This one is his cry for Oscar gold, and the masses will surely be chanting his name and singing his praises on high.",2760491,,POSITIVE,Candice McMillan,http://resizing.flixster.com/FMF7dDcKbVIeLgpRxdsBAZ8-Y60=/128x128/v1.YzszODYyO2o7MTkzMDU7MjA0ODszMDA7MzAw,candice-mcmillan,3890,Seattle Refined
18,"Jan 28, 2021",True,False,False,False,https://www.comicbookmovie.com/batman/joker/joker-review-joaquin-phoenix-shines-in-todd-phillips-unnerving-psychological-thriller-a170783#gs.rf7tp2,"... this is an R-rated origin story for one of the most deranged, murderous villains in fiction, and the film reflects that. It may not make you feel good, but it will make you feel something, and sometimes that's enough.",2760070,4/5,POSITIVE,Mark Cassidy,http://resizing.flixster.com/bmCoLhgNgASHfO9_mqCYz8x_Ols=/128x128/v1.YzszODc2O2o7MTkzMDU7MjA0ODszMDA7MzAw,mark-cassidy,1778,ComicBookMovie.com
19,"Dec 7, 2020",False,True,False,False,http://gonewiththetwins.com/new/joker-2019/,Surely the most realistic depiction of a supervillain becoming a supervillain thus far.,2749163,4/10,NEGATIVE,Mike Massie,http://resizing.flixster.com/7ryrShXsfyezmbE69al-_H9LVSU=/128x128/v1.YzszNjc3O2o7MTkzMDU7MjA0ODszMDA7MzAw,mike-massie,3719,Gone With The Twins
20,"Nov 18, 2020",True,False,False,False,https://blankpagebeatdown.com/review-joaquin-phoenixs-joker-2019-is-a-villain-story-that-mimics-a-superhero-origin-tale/,"Joker is a subversion of the trope of the hero's journey, made for a villain.",2743251,,POSITIVE,Shah Shahid,http://resizing.flixster.com/7zXkGLrQDQAjDwlcAWHJjjtHafI=/128x128/v1.YzszODMxO2o7MTkzMDU7MjA0ODszMDA7MzAw,shah-shahid,3860,Blank Page Beatdown
21,"Oct 19, 2020",True,False,False,False,https://www.sootoday.com/columns/aisle-seat/movie-review-joker-1733677,"Without Mr. Phoenix, Joker would be kind of dull.",2735464,,POSITIVE,Robert Slack,http://resizing.flixster.com/a7MrWKtvqOpr-yD3dyJII55frmk=/128x128/v1.YzszODIzO2o7MTkzMDU7MjA0ODs0NTA7NDUw,robert-slack,3723,SooToday.com
22,"Sep 23, 2020",False,True,False,False,http://cinemasentries.com/review/joker-movie-review-self-important-nihilist-drivel/,"Joker is repulsive, cynical garbage that tries acting more meaningful than it actually is.",2727997,,NEGATIVE,Matthew St. Clair,http://resizing.flixster.com/4QohvKrM8ZhtfngEC-xygYJo4vI=/128x128/v1.YzszNzk1O2o7MTkzMDU7MjA0ODszMDA7MzAw,matthew-st-clair,3703,Cinema Sentries
23,"Sep 17, 2020",True,False,False,False,https://thebaffler.com/latest/money-is-an-iron-hamrah,"Joker is a one-man show...the riot scenes near the end of Joker reflect something true in society, and they brought the film out of its shell.",2725489,,POSITIVE,A.S. Hamrah,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,as-hamrah,3002,The Baffler
24,"Sep 13, 2020",True,False,False,False,https://theindependentcritic.com/joker,It's one of 2019's most unforgettable cinematic experiences.,2723818,3.5/4.0,POSITIVE,Richard Propes,http://resizing.flixster.com/94wCpuuaWB5Y3EAw3mBDF8X5N04=/128x128/v1.YzszODAzO2o7MTkzMDU7MjA0ODszMDA7MzAw,richard-propes-27470,3826,TheIndependentCritic.com
25,"Aug 20, 2020",True,False,False,False,http://seventhartstudio.com/joker-2019-resena/,A comic book movie with sufficient creative liberty to become a psychological thriller that talks about the darkest feelings of human reality. [Full review in Spanish],2715182,9/10,POSITIVE,Victor Pineyro,http://resizing.flixster.com/rd4EAjikFjIE_IajDRg0WEJ6gN0=/128x128/v1.YzszNzg0O2o7MTkzMDU7MjA0ODszMDA7MzAw,victor-pineyro-27436,3813,Seventh Art Studio
26,"Aug 19, 2020",True,False,False,False,https://www.marieclaire.co.uk/entertainment/tv-and-film/must-see-films-september-707952,"Repellent and pitiful at the same time, Phoenix is absolutely riveting.",2714841,,POSITIVE,Jason Best,http://resizing.flixster.com/4yWC4d3L8g4OYiegmVh48sWrm3E=/38x42/v1.YzsyMjU3O2o7MTkzMDU7MjA0ODszODs0Mg,jason-best,2911,Marie Claire
27,"Aug 16, 2020",False,True,False,False,https://vulturehound.co.uk/2019/12/is-it-just-me-or-is-it-getting-crazier-out-there-joker-film-review/,"Phillips constructs a palpable sense of down-and-dirty dread, helped by Phoenix's commitment ... but the movie stops short of ever expressing an opinion.",2714052,3/5,NEGATIVE,Tom Beasley,http://resizing.flixster.com/SDf_X6FPW65bXVjOb1g52T_1T2s=/128x128/v1.YzszNzc1O2o7MTkzMDU7MjA0ODszMDA7MzAw,tom-beasley,3201,VultureHound
28,"Jul 28, 2020",True,False,False,False,http://outtakemag.co.uk/reviews/2019/10/05/joker-review-joaquin-phoenix/,"The curveballs that Joker will throw at you stay in your head for hours afterwards, as does the haunting collapse of its protagonist.",2708962,4.5 / 5,POSITIVE,James Hanton,http://resizing.flixster.com/d1U5ykmm9hiG69TE7mZJj24dMIg=/128x128/v1.YzszNzYzO2o7MTkzMDU7MjA0ODszMDA7MzAw,james-hanton,3794,Outtake Mag
29,"Jul 25, 2020",False,True,False,False,https://www.saturdayeveningpost.com/2019/10/review-joker-movies-for-the-rest-of-us-with-bill-newcott/,"It all reminds me of a Goth teenager: He dresses in black, circles his eyes with mascara and mopes around in his room, all the time with no idea what he's so depressed about.",2708355,3/5,NEGATIVE,Bill Newcott,http://resizing.flixster.com/RXeiLlDiNqCSCFcFAM5qxuOOShM=/128x128/v1.YzszNzQ2O2o7MTkzMDU7MjA0ODszMDA7MzAw,bill-newcott,3791,The Saturday Evening Post
30,"Jul 24, 2020",True,False,False,False,https://wtop.com/entertainment/2019/10/movie-review-phoenix-disturbingly-realistic-in-villain-origin-story-joker/,"Don't expect a Marvel action flick for kids. This is a gritty character study, one where fans and critics can all agree on one thing: Joaquin Phoenix could laugh all the way to the Oscars.",2707971,3.5/4,POSITIVE,Jason Fraley,http://resizing.flixster.com/OAbfu1tq9jtpigfc3ueoRgjSiBM=/128x128/v1.Yzs0MDE5O2o7MTkzMDU7MjA0ODszMDA7MzAw,jason-fraley,3775,"WTOP (Washington, D.C.)"
31,"Jul 15, 2020",True,False,False,False,https://www.ndtv.com/entertainment/joker-movie-review-this-portrait-of-a-villain-leans-on-joaquin-phoenixs-astounding-brilliance-3-5-st-2109947,Undeniably compelling.,2705049,3.5/5,POSITIVE,Saibal Chatterjee,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,saibal-chatterjee,2651,NDTV
32,"Jul 8, 2020",True,False,False,False,http://deadscreen.net/joker-is-an-intriguing-and-terrifying-look-at-a-man-giving-into-madness/,"While drawing heavy influence from previous Scorsese movies, Joker boasts a great performance from Phoenix and shows that darker comic book films continue to have a place in a family-oriented realm.",2702690,,POSITIVE,Murjani Rawls,http://resizing.flixster.com/QCZoOvSirMNxIvBezSLi_-taq9g=/128x128/v1.YzszNzM0O2o7MTkzMDU7MjA0ODszMDA7MzAw,murjani-rawls,3772,Deadscreen
33,"Jul 8, 2020",True,False,False,False,https://macguff.in/film-reviews/joker-second-take/,"What an electrifying performance by Phoenix ... It's the work of a fearless performer, and the result is an acting masterclass.",2702628,A-,POSITIVE,Allen Almachar,http://resizing.flixster.com/GGIp-q-WF0JYq0qJt3BEg_alt60=/128x128/v1.YzszNzIzO2o7MTkzMDU7MjA0ODszMDA7MzAw,allen-almachar,2864,The MacGuffin
34,"Jul 8, 2020",True,False,False,False,https://www.flavourmag.co.uk/joker-review/,"Phillips and Phoenix deliver a shattering and fresh new take on an age-old character, a character study of the birth of the supervillain with darkly disturbing vigour.",2702517,4/5,POSITIVE,Zehra Phelan,http://resizing.flixster.com/6qrEngB4civQAcdA0YHZJRTLB-g=/128x128/v1.YzszNzM4O2o7MTkzMDU7MjA0ODszMDA7MzAw,zehra-phelan,3768,Flavourmag
35,"Jul 3, 2020",True,False,False,False,https://www.asimplevista.com/ahora/un-descenso-a-la-locura-personal-y-colectiva/,"Joker  is dark, dense, violent, and monstrous. A descent into Hades that is unlike anything we've seen on screen that's inspired by a comic [Full review in Spanish]",2701554,5/5,POSITIVE,Luis Bond,http://resizing.flixster.com/2IlqaMP5e9gxdSNmjlxdmqN7dew=/128x128/v1.YzszNjg5O2o7MTkzMDU7MjA0ODszMDA7MzAw,luis-bond,3726,A Simple Vista
36,"Jul 1, 2020",False,True,False,False,https://www.rochestercitynewspaper.com/rochester/film-review-joker/Content?oid=10926197,"Has nothing to say about the issues it raises, so they come across like mere window dressing to what's in the end a fairly conventional comic book supervillain origin story.",2700826,,NEGATIVE,Adam Lubitow,http://resizing.flixster.com/I0W14nmMFyz_3Sh8AK28wVNs2W4=/128x128/v1.YzsyOTcyO2o7MTkzMDU7MjA0ODs3MTM7NzEz,adam-lubitow,3079,Rochester City Newspaper
37,"Jun 30, 2020",True,False,False,False,https://www.youtube.com/watch?v=ChLTgapUxUw&list=PL0AQIMR-tpokxxcWYbRrZRCK0aymJ8ey_&index=14&t=0s,Well I just saw the feel-good movie of the year. Yikes!,2700431,4/4,POSITIVE,Doug Walker,http://resizing.flixster.com/XZBf8Ac4naAbAP3IzsUOkGBkxIQ=/128x128/v1.YzszNzAxO2o7MTkzMDU7MjA0ODszMDA7MzAw,doug-walker,3742,Channel Awesome
38,"Jun 27, 2020",True,False,False,False,https://www.cinemaficionados.com/2019/10/critica-pelicula-joker.html,I have no doubt for a second that Phoenix's performance is one of the most complex of the year. [Full review in Spanish],2699690,7/10,POSITIVE,Yasser Medina,http://resizing.flixster.com/74GNvHopdxiDsWNqMAqEI80RLas=/128x128/v1.YzsxMDAwMDAyNjg0O3A7MTkzMTQ7MjA0ODsyOTQ7Mjk0,yasser-medina,3731,Cinemaficionados
39,"Jun 27, 2020",True,False,False,False,https://www.kcci.com/article/movie-review-joker/29367191,"Joker is a brilliantly executed melancholy exploration of mental illness, anchored by a riveting performance from [Joaquin] Phoenix.",2699539,,POSITIVE,Damond Fudge,http://resizing.flixster.com/QCA8hnTVjDD2Ztw7ZsBLn778Ov8=/128x128/v1.YzszNjk1O2o7MTkzMDU7MjA0ODsyMTgwOzIxODA,damond-fudge,3741,"KCCI (Des Moines, IA)"
40,"Jun 19, 2020",True,False,False,False,https://exclaim.ca/film/article/tiff_review_joker_is_brilliantly_acted_and_incredibly_uncomfortable-directed_by_todd_phillips,"Even when Joker ventures into morally murky territory, it feels grimly realistic.",2697555,9/10,POSITIVE,Alex Hudson,http://resizing.flixster.com/m_3oWlABfIxu2AmL1it_sm3pbZI=/128x128/v1.YzszNjc1O2o7MTkzMDU7MjA0ODszMDA7MzAw,alex-hudson,887,Exclaim!
41,"May 22, 2020",True,False,False,False,https://www.youtube.com/watch?v=WWjHzWp7_2M&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=18,"It made me think, it made me feel, it had a powerful performance at its core.",2691834,,POSITIVE,Avaryl Halley,http://resizing.flixster.com/rkeCvaK5_eszO1RvnzBTO04Sydc=/128x128/v1.YzszNTc1O2o7MTkzMDU7MjA0ODsxNDAwOzE0MDE,avaryl-halley,3639,Movie Bitches
42,"May 22, 2020",True,False,False,False,https://www.youtube.com/watch?v=WWjHzWp7_2M&list=PLfilE8-llLwwbmf5ou2TqNk1azRZLyBWQ&index=18,It's a good but deeply affecting movie.,2691833,,POSITIVE,Andrew Galdi,http://resizing.flixster.com/JkU0h1pu8hQS5_Q3z9EuyQlBsTE=/128x128/v1.YzszNTc2O2o7MTkzMDU7MjA0ODsxNDAwOzE0MDE,andrew-galdi,3639,Movie Bitches
43,"Apr 14, 2020",True,False,False,False,https://www.caseymoviemania.com/2019/09/joker-2019-review/,"You got to hand it to Joaquin Phoenix for fully inhabited his role of a loner on the verge of psychological breakdown in ""Joker"".",2683252,3.5/5,POSITIVE,Casey Chong,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,casey-chong,3688,Casey's Movie Mania
44,"Apr 4, 2020",False,True,False,False,https://www.thecurb.com.au/joker-review-empathy-for-the-devil/,"For all the hype and anxiety surrounding the film, one can't help but walk away asking, all of that noise for this?",2681267,,NEGATIVE,Andrew F. Peirce,http://resizing.flixster.com/mGK6XmXQ-UJqzq-jpwRXP7ZsPk0=/128x128/v1.YzszNjQ1O2o7MTkzMDU7MjA0ODszMDA7MzAw,andrew-f-peirce,3680,The Curb
45,"Mar 9, 2020",True,False,False,True,https://www.chicagoreader.com/chicago/joker/Film?oid=73585638,"Joaquin Phoenix, in another outstanding performance.",2675928,,POSITIVE,Ben Sachs,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,ben-sachs,66,Chicago Reader
46,"Feb 29, 2020",False,True,False,False,https://hyperallergic.com/522952/joker-review-joaquin-pheonix/,"It's disingenuous and pandering for Phillips to root through a grab bag of resentments and pick out only the least problematic, like he's trying to find the last candy in the bag that isn't licorice.",2673734,,NEGATIVE,Mark Asch,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,mark-asch,3161,Hyperallergic
47,"Feb 13, 2020",False,True,False,False,http://takeonecinema.net/2019/joker-review/,"JOKER is a beautiful but simplistically shallow tale of one man's downward spiral, tacked on to a recognisable cinematic icon. Todd Phillips's film is a Batmobile with the engine of a clown car.",2669347,,NEGATIVE,Jim Ross,http://resizing.flixster.com/F2wVn9ZOUr7y0-laUjMN1jBV68g=/128x128/v1.YzszNTkzO2o7MTkzMDU7MjA0ODszMDA7MzAw,jim-ross,3654,TAKE ONE Magazine
48,"Feb 11, 2020",False,True,False,False,https://www.youtube.com/watch?v=qt2f3zL6XvE&list=PLYIuAMO7HHjjMBXV3sEz6ssmoX3rvevyL&index=35&t=0s,"The more I watched it, the more I disliked it. Just did not work for me, I hate this movie.",2668639,0/5,NEGATIVE,Shawn Edwards,http://resizing.flixster.com/T0ljcJalKDWyvIK_71loxMtTVYY=/128x128/v1.YzszMzU3O2o7MTkzMDU7MjA0ODsxNzg4OzE3ODg,shawn-edwards,3458,Fox 4 Kansas City
49,"Feb 11, 2020",True,False,False,False,https://www.playboy.com/read/10-best-films-2019,"The whole damn thing is directed with such boldness and vision that Todd Phillips (yeah, the Hangover guy) should never look back again. A big-screen must see.",2668377,,POSITIVE,Stephen Rebello,https://images.fandango.com/cms/assets/5b6ff500-1663-11ec-ae31-05a670d2d590--rtactordefault.png,stephen-rebello,768,Playboy Online
50,"Feb 6, 2020",True,False,False,True,https://www.tabletmag.com/jewish-arts-and-culture/297804/joker-is-the-movie-of-the-year,"Not only an intelligent throwback to the feel-bad shock cinema of the 1970s, Joker is all but unique in its social realism...",2667505,,POSITIVE,J. Hoberman,http://resizing.flixster.com/Gd3U0S8vDV7wSRMOkTh4HmxF5TE=/38x50/v1.YzsxNTg3O2c7MTkzMDU7MjA0ODszODs1MA,j-hoberman,2719,Tablet
51,"Feb 5, 2020",False,True,False,False,https://www.colesmithey.com/reviews/2020/01/joker.html,Cinema is dead. Here is your proof.,2666790,F,NEGATIVE,Cole Smithey,http://resizing.flixster.com/C7JqSzCcAC3Wkj385qZPBeu1ei0=/128x128/v1.YzsyNjMzO2c7MTkzMDU7MjA0ODsxNTA7MTUw,cole-smithey,1702,ColeSmithey.com
52,"Jan 29, 2020",False,True,False,False,https://cultbox.co.uk/film/all-i-have-are-negative-thoughts-joker-film-review,"For just over two hours we are forced into alignment with a monster. And, not only that, it wants us to unrepentantly side with him. It feels hyperbolic to say that this results in a terrible sense of inescapable unease when watching, but it's the truth.",2664988,2/5,NEGATIVE,Charlotte Harrison,http://resizing.flixster.com/ANKqAyvqa6hPBt_c1_6rFApenec=/128x128/v1.YzszMTI3O2o7MTkzMDU7MjA0ODszMDA7MzAw,charlotte-harrison,3368,cultbox
53,"Jan 22, 2020",False,True,False,False,https://robsmovievault.wordpress.com/2020/01/19/joker/,For what it is&#44; it&apos;s gorgeously assembled&#44; with a ragged jewel of a performance by Joaquin Phoenix at its center&#46; The problem is&#44; well&#44; what it is&#46;&#46;&#46; &quot;Joker&quot; ends up repeating itself and lap-dancing its same handful of nihilistic points again and again&#46;,2662371,D,NEGATIVE,Rob Gonsalves,http://resizing.flixster.com/F1pd0H1ydK0umsz1KaLJ_ZzVHVA=/100x100/v1.YzsyMTMxO2o7MTkzMDU7MjA0ODsxMDA7MTAw,rob-gonsalves,100009697,Rob's Movie Vault
54,"Jan 22, 2020",True,False,False,False,https://planetsmag.com/2019-10-10/insane-clown-poseur/,"Ultimately, Joker blames society for its ""hero's"" unraveling, letting this maniac off the hook. Simplistic, yes. Reckless, undoubtedly. But not totally invalid.",2662370,4/5,POSITIVE,Jorge Ignacio Castillo,http://resizing.flixster.com/oD7TnEDf1Iww7C4cmuc82ZxDyjo=/128x128/v1.YzszMTM4O2o7MTkzMDU7MjA0ODszMDA7MzAw,jorge-ignacio-castillo-23448,595,Planet S Magazine
55,"Jan 21, 2020",False,True,False,False,https://medium.com/eyes-wide-open/every-other-best-picture-oscar-nominee-deserves-to-beat-joker-9fa3cfc40068,...A lethally dull and spiritually deadening exercise whose strained black humor and self-importance makes even the profundities of Christopher Nolan's Dark Knight trilogy feel meaningful by comparison.,2662044,,NEGATIVE,Chris Barsanti,http://resizing.flixster.com/fMKLPJ2LGOwQa9Zj5KPKUu4MnwA=/128x128/v1.YzsyNzY0O2c7MTkzMDU7MjA0ODsxNTA7MTUw,chris-barsanti,3530,Eyes Wide Open
56,"Jan 21, 2020",False,True,False,False,http://fictionmachine.com/2020/01/21/review-joker-2019/,I implore you: move on from Joker. You are better than this. We all are.,2662004,2/10,NEGATIVE,Grant Watson,http://resizing.flixster.com/t_rjCjf45stY5ZoT7V6aVIAzq38=/128x128/v1.YzszMzY1O2o7MTkzMDU7MjA0ODszMDA7MzAw,grant-watson,3468,Fiction Machine
57,"Jan 17, 2020",False,True,False,False,https://rachelsreviews.net/2020/01/16/thoughts-on-the-oscar-best-picture-nominees/,His story wasn't interesting to me because there never was a valid option for him to chose a different path.,2661513,,NEGATIVE,Rachel Wagner,http://resizing.flixster.com/NguGZenfyZiEnJrFQMH-yZxu4KY=/128x128/v1.YzszMjU3O2o7MTkzMDU7MjA0ODszMDA7MzAw,rachel-wagner,3346,rachelsreviews.net
58,"Jan 17, 2020",False,True,False,False,https://www.youtube.com/watch?v=BDlGebN5yfY,Is it good? Parts of it. Did I enjoy it? Not really.,2661382,,NEGATIVE,Vera Wylde,http://resizing.flixster.com/Yvs_FeXVWPwxwSx5QKnujebuKjk=/128x128/v1.YzsxMDAwMDAyODQ2O3A7MTkzMTQ7MjA0ODszMDA7MzAw,nathaniel-wayne,3618,Council of Geeks
59,"Jan 16, 2020",True,False,False,False,https://awardswatch.com/toronto-review-joker-is-a-magnetic-volcanic-masterpiece/,Todd Phillips creates a terrifying masterpiece and one of the best and most daring comic book films ever made.,2660988,,POSITIVE,Mina Takla,http://resizing.flixster.com/aNfdotMGTad49ocyQmNQPNgtdds=/128x128/v1.YzszNTgxO2o7MTkzMDU7MjA0ODszNzI7Mzcy,mina-takla,3094,AwardsWatch
